Stomatepia pindu	YP_009590629
Ancylostoma tubaeforme	YP_009353454
Macrotermes yunnanensis	YP_009353442
Rhombodera valida	YP_009353198
Hierodula patellifera	YP_009353185
Megaleporinus elongatus	YP_009353160
Campephilus imperialis	YP_009353121
Chlorocebus djamdjamensis	YP_009353108
Chlorocebus aethiops x Chlorocebus pygerythrus	YP_009353095
Desmophyllum dianthus	YP_009353092
Unio delphinus	YP_009346054
Homo heidelbergensis	YP_008963989
Chionodraco myersi	YP_001905876
Mus terricolor	YP_001876471
Rattus norvegicus	YP_665631
Armillifer armillatus	YP_025989
Pollicipes polymerus	YP_026015
Mus musculus	NP_904330
Danio rerio	COX1_15414
Numida meleagris	YP_009357209
Coccocarpia palmicola	YP_009355405
Gnathostoma nipponicum	YP_009352215
Hyla suweonensis	YP_009352204
Haematopus ostralegus	YP_009352191
Delphinapterus leucas	YP_009352178
Euschemon rafflesia	YP_009352112
Ptychobarbus chungtienensis	YP_009352100
Myotis bechsteinii	YP_009351939
Rhinotergum shaoguanense	YP_009351807
Ephelotermes taylori	YP_009351795
Nasutitermes macrocephalus	YP_009351756
Noditermes cristifrons	YP_009351743
Compositermes vindai	YP_009351730
Microcerotermes serrula	YP_009351704
Cephalotermes rectangularis	YP_009351626
Microcerotermes progrediens	YP_009351587
Odontotermes longignathus	YP_009351548
Humutermes krishnai	YP_009351535
Orthotermes depressifrons	YP_009351483
Acidnotermes praus	YP_009351444
Termes comis	YP_009351431
Nasutitermes latifrons	YP_009351379
Nasutitermes exitiosus	YP_009351353
Rubeotermes jheringi	YP_009351301
Macrotermes gilvus	YP_009351288
Lophotermes septentrionalis	YP_009351223
Sphaerotermes sphaerothorax	YP_009351197
Cavitermes tuberosus	YP_009351119
Cylindrotermes parvignathus	YP_009351106
Longustitermes manni	YP_009351080
Aciculitermes aciculatus	YP_009351015
Mirocapritermes connectens	YP_009350963
Microcerotermes havilandi	YP_009350950
Ophiotermes grandilabius	YP_009350846
Ophiotermes mirandus	YP_009350742
Microcerotermes fuscotibialis	YP_009350729
Microcerotermes baluchistanicus	YP_009350703
Neocapritermes angusticeps	YP_009350547
Tuberculitermes bycanistes	YP_009350534
Macrotermes falciger	YP_009350508
Termes fatalis	YP_009350495
Macrotermes carbonarius	YP_009350456
Nasutitermes octopilis	YP_009350443
Constrictotermes cyphergaster	YP_009350430
Crepititermes verruculosus	YP_009350391
Prohamitermes mirabilis	YP_009350365
Nasutitermes matangensis	YP_009350300
Patawatermes nigripunctatus	YP_009350274
Odontotermes hainanensis	YP_009350222
Odontotermes obesus	YP_009350209
Nasutitermes banksi	YP_009350196
Pseudacanthotermes spiniger	YP_009350170
Nasutitermes longirostris	YP_009350157
Nasutitermes diabolus	YP_009350118
Ephelotermes melachoma	YP_009350105
Atlantitermes oculatissimus	YP_009351782
Bulbitermes singaporiensis	YP_009351769
Thoracotermes macrothorax	YP_009351717
Coatitermes kartaboensis	YP_009351691
Ruptitermes arboreus	YP_009351678
Globitermes sulphureus	YP_009351665
Procubitermes undulans	YP_009351652
Patawatermes turricola	YP_009351639
Acholotermes chirotus	YP_009351613
Hirtitermes hirtiventris	YP_009351600
Astalotermes murcus	YP_009351574
Furculitermes cubitalis	YP_009351561
Furculitermes longilabius	YP_009351522
Macrotermes muelleri	YP_009351509
Protermes prorepens	YP_009351496
Amitermes obeuntis	YP_009351470
Anoplotermes parvus	YP_009351457
Anoplotermes janus	YP_009351418
Procapritermes martyni	YP_009351405
Inquilinitermes inquilinus	YP_009351392
Foraminitermes rhinoceros	YP_009351366
Postsubulitermes parviconstrictus	YP_009351340
Crenetermes albotarsalis	YP_009351327
Pericapritermes dolichocephalus	YP_009351314
Cubitermes sulcifrons	YP_009351275
Nasutitermes arborum	YP_009351262
Aciculitermes maymyoensis	YP_009351249
Odontotermes javanicus	YP_009351236
Microcerotermes nervosus	YP_009351210
Atlantitermes snyderi	YP_009351184
Embiratermes brevinasus	YP_009351171
Orthotermes mansuetus	YP_009351158
Amalotermes phaeocephalus	YP_009351145
Tumulitermes pastinator	YP_009351132
Globitermes globosus	YP_009351093
Nasutitermes similis	YP_009351067
Anhangatermes macarthuri	YP_009351054
Spinitermes trispinosus	YP_009351041
Planicapritermes planiceps	YP_009351028
Occasitermes occasus	YP_009351002
Oriensubulitermes inanis	YP_009350989
Cornitermes cumulans	YP_009350976
Jugositermes tuberculatus	YP_009350937
Furculitermes soyeri	YP_009350924
Promirotermes pygmaeus	YP_009350911
Nasutitermes neoparvus	YP_009350898
Allodontermes schultzei	YP_009350885
Macrotermes annandalei	YP_009350872
Pseudacanthotermes militaris	YP_009350859
Amitermes dentatus	YP_009350833
Hospitalitermes hospitalis	YP_009350820
Trichotermes ducis	YP_009350807
Microtermes obesi	YP_009350794
Proboscitermes tubuliferus	YP_009350781
Havilanditermes proatripennis	YP_009350768
Ateuchotermes retifaciens	YP_009350755
Silvestritermes heyeri	YP_009350716
Euhamitermes hamatus	YP_009350690
Furculitermes winifredae	YP_009350677
Amitermes meridionalis	YP_009350664
Odontotermes minutus	YP_009350651
Nasutitermes longipennis	YP_009350638
Bulbitermes laticephalus	YP_009350625
Labritermes buttelreepeni	YP_009350612
Araujotermes parvellus	YP_009350599
Cubitermes oblectatus	YP_009350586
Cornitermes pugnax	YP_009350573
Macrotermes vitrialatus	YP_009350560
Tumulitermes recalvus	YP_009350521
Orientotermes emersoni	YP_009350482
Leucopitermes leucops	YP_009350469
Termes rostratus	YP_009350417
Nasutitermes lujae	YP_009350404
Nasutitermes graveolus	YP_009350378
Amitermes capito	YP_009350352
Hypotermes makhamensis	YP_009350339
Microcerotermes crassus	YP_009350326
Odontotermes mathuri	YP_009350313
Cubitermes fulvus	YP_009350287
Apilitermes longiceps	YP_009350261
Macrotermes malaccensis	YP_009350248
Bulbitermes makhamensis	YP_009350235
Agnathotermes crassinasus	YP_009350183
Alyscotermes kilimandjaricus	YP_009350144
Microcerotermes newmani	YP_009350131
Bubalus depressicornis	YP_007624953
Cerion uva	YP_009351924
Helotrephes sp. NKMT027	YP_002970749
Macroscytus gibbulus	YP_002735019
Takifugu rubripes x Takifugu flavidus	YP_009350074
Hoolock leuconedys x Hoolock tianxing	YP_009347313
Homoiodoris japonica	YP_009350088
Haematortyx sanguiniceps	YP_009350005
Unio tumidus	YP_009349495
Unio crassus	YP_009349480
Tringa ochropus	YP_009349379
Triplophysa pappenheimi	YP_009349353
Pluvialis fulva	YP_009349205
Microphysogobio amurensis	YP_009349192
Cirrhinus cirrhosus	YP_009349179
Labeo coubie	YP_009349166
Epalzeorhynchos frenatus	YP_009349153
Lobocheilos melanotaenia	YP_009349140
Micronemacheilus cruciatus	YP_009349127
Acanthocobitis botia	YP_009349101
Homalopteroides smithi	YP_009349088
Homaloptera ocellata	YP_009349036
Neohomaloptera johorensis	YP_009349023
Syncrossus hymenophysa	YP_009349010
Sinibotia pulchra	YP_009348997
Opsariichthys pachycephalus	YP_009348984
Opsariichthys evolans	YP_009348971
Notropis chrosomus	YP_009348958
Semotilus atromaculatus	YP_009348945
Richardsonius balteatus	YP_009348932
Rhinichthys cataractae	YP_009348919
Rhinichthys atratulus	YP_009348906
Pogonichthys macrolepidotus	YP_009348893
Pimephales notatus	YP_009348880
Notropis telescopus	YP_009348867
Pteronotropis hypselopterus	YP_009348854
Notropis bifrenatus	YP_009348841
Nocomis asper	YP_009348828
Macrhybopsis meeki	YP_009348815
Lythrurus umbratilis	YP_009348802
Lythrurus lirus	YP_009348789
Lythrurus fumeus	YP_009348776
Lythrurus ardens	YP_009348763
Luxilus cornutus	YP_009348750
Lavinia exilicauda	YP_009348737
Cyprinella galactura	YP_009348711
Acrocheilus alutaceus	YP_009348698
Opsopoeodus emiliae	YP_009348685
Notropis atherinoides	YP_009348672
Luxilus chrysocephalus	YP_009348646
Dionda episcopa	YP_009348633
Pachychilon pictum	YP_009348607
Saurogobio immaculatus	YP_009348594
Sarcocheilichthys biwaensis	YP_009348581
Hypselobarbus thomassi	YP_009348568
Puntius sahyadriensis	YP_009348555
Oreichthys crenuchoides	YP_009348542
Enteromius pobeguini	YP_009348529
Lamna nasus	YP_009348419
Otolithes ruber	YP_009348321
Mesapia peloria	YP_009347415
Aporia bieti	YP_009347376
Scomberomorus sierra	YP_009347364
Hoolock hoolock	YP_009347339
Hoolock tianxing	YP_009347326
Hoolock leuconedys	YP_009347300
Graphosoma rubrolineatum	YP_009346654
Apriona swainsoni	YP_009346541
Xiphinema pachtaicum	YP_009346458
Xiphinema rivesi	YP_009346447
Paralongidorus litoralis	YP_009346434
Longidorus vineacola	YP_009346418
Clistocoeloma sinense	YP_009346405
Hoplias intermedius	YP_009346135
Potamilus alatus	YP_009346107
Ornithodoros zumpti	YP_009346095
Argas boueti	YP_009346082
Argas brumpti	YP_009346069
Lagopus muta	YP_009350018
Xenus cinereus	YP_009349366
Ninox strenua	YP_009349217
Acanthocobitis zonalternans	YP_009349114
Serpenticobitis octozona	YP_009349075
Homaloptera confuzona	YP_009349062
Barbucca diabolica	YP_009349049
Hybopsis lineapunctata	YP_009348724
Nocomis biguttatus	YP_009348659
Notropis imeldae	YP_009348620
Pseudoplatystoma reticulatum	YP_009346123
Paraplea frontalis	YP_009186446
Celleporella hyalina	YP_006575936
Sakuraeolis japonica	YP_009349228
Cryptoheros cutteri	YP_009344794
Cichlasoma dimerus	YP_009344781
Uaru amphiacanthoides	YP_009344768
Retroculus lapidifer	YP_009344755
Rocio octofasciata	YP_009344742
Andinoacara pulcher	YP_009344729
Herichthys cyanoguttatus	YP_009344716
Geophagus steindachneri	YP_009344703
Aequidens metae	YP_009344690
Bujurquina mariae	YP_009344677
Chaetobranchopsis bitaeniatus	YP_009344664
Cheilopogon doederleinii	YP_009344651
Entylia carinata	YP_009344624
Monticola gularis	YP_009344586
Paleosepharia posticata	YP_009344369
Temnopleurus reevesii	YP_009344344
Temnopleurus toreumaticus	YP_009344331
Salmacis sphaeroides	YP_009344318
Echinothrix diadema	YP_009343957
Diadema setosum	YP_009343944
Stolephorus commersonnii	YP_009343931
Ambassis gymnocephalus	YP_009342475
Panopea abrupta	YP_009344610
Scomberomorus concolor	YP_009344357
Lophornis magnificus	YP_009342036
Glaucis hirsutus	YP_009342023
Mindarus keteleerifoliae	YP_009341839
Sardinella longiceps	YP_009341709
Amazilia brevirostris	YP_009341696
Amazilia millerii	YP_009341683
Amazilia rondoniae	YP_009341670
Herzensteinia microcephalus	YP_009341657
Uraspis helvola	YP_009341644
Epopella plicata	YP_009340957
Chascanopsetta lugubris	YP_009340946
Eugnathogobius oligactis	YP_009340933
Rectoris posehensis	YP_009340920
Garra salweenica	YP_009340907
Nilaparvata bakeri	YP_009340893
Eleginops maclovinus	YP_009340795
Eublepharis macularius	YP_009340708
Nycticebus pygmaeus	YP_009340682
Civettictis civetta	YP_009340643
Pallaseopsis kessleri	YP_009339306
Gmelinoides fasciatus	YP_009339293
Eulimnogammarus cyaneus	YP_009339280
Neotoma fuscipes	YP_009338902
Pteronotus personatus	YP_009338720
Gnathopogon nicholsi	YP_009338694
Chloronia mirifica	YP_009338597
Simulium variegatum	YP_009338584
Vespertilio murinus	YP_009338572
Trichodes sinae	YP_009338128
Emberiza fucata	YP_009338103
Amazona aestiva	YP_009338007
Terpsiphone atrocaudata	YP_009336463
Rasbora lateristriata	YP_009336342
Rasbora aprotaenia	YP_009336329
Tonkinacris sinensis	YP_009335919
Acipenser brevirostrum	YP_009335907
Pimelodus maculatus	YP_009334287
Triplophysa stenura	YP_009334248
Caridina cf. nilotica HMG-2016	YP_009254361
Chlamydomonas moewusii	NP_046144
Sargassum fluitans	YP_009340779
Sargassum natans	YP_009340742
Typhlomys cinereus	YP_009340695
Orchesella cincta	YP_009330295
Takifugu fasciatus x Takifugu flavidus	YP_009332993
Pampus minor	YP_009332777
Kryptolebias hermaphroditus	YP_009332462
Schlechtendalia chinensis	YP_009332447
Sinocyclocheilus ronganensis	YP_009332436
Amphitetranychus viennensis	YP_009332308
Dryophytes suweonensis	YP_009332297
Amblyomma sculptum	YP_009332011
Glyptocidaris crenularis	YP_009331768
Butastur indicus	YP_009331671
Schoeniclus siemsseni	YP_009330849
Sinopodisma tsinlingensis	YP_009330835
Stenella longirostris	YP_009330806
Batagur trivittata	YP_009330791
Cylicocyclus nassatus	YP_009330779
Bullanga florida	YP_009330767
Heosemys grandis	YP_009330755
Cloacotaenia megalops	YP_009330658
Gobio cynocephalus	YP_009330647
Gobiobotia pappenheimi	YP_009330634
Pseudogobio vaillanti	YP_009330621
Huigobio chenhsienensis	YP_009330608
Microphysogobio liaohensis	YP_009330595
Platysmacheilus longibarbatus	YP_009330582
Schizopygopsis stoliczkai	YP_009332790
Hemigobius hoevenii	YP_009332566
Oreonectes furcocaudalis	YP_009332423
Butastur liventer	YP_009331684
Paraleonnates uschakovi	YP_009331656
Californiconus californicus	YP_009332114
Bootherium bombifrons	YP_009331541
Epinephelus chlorostigma	YP_009328349
Achalinus rufescens	YP_009328336
Achalinus spinalis	YP_009328323
Mystus vittatus	YP_009328232
Hypselobarbus pulchellus	YP_009328219
Macrognathus pancalus	YP_009328206
Praticolella mexicana	YP_009328197
Trigonidium sjostedti	YP_009328096
Oxya hyla	YP_009328083
Euborellia arcanum	YP_009328070
Poeciliopsis monacha	YP_009328058
Trachelus tabidus	YP_009328032
Trachelus iudaicus	YP_009328019
Cladotaenia vulturi	YP_009327967
Hemipristis elongata	YP_009327885
Asymmetricata circumdata	YP_009327755
Zosterops poliogastrus	YP_009327644
Zosterops abyssinicus	YP_009327631
Orthetrum testaceum	YP_009327179
Orthetrum sabina	YP_009327166
Orthetrum chrysis	YP_009327153
Orthetrum glaucum	YP_009327140
Somanniathelphusa boyangensis	YP_009326942
Cottus szanaga	YP_009326486
Channa striata	YP_009326385
Polygyra cereolus	YP_009326376
Liobagrus andersoni	YP_009326359
Paragonimus ohirai	YP_009326183
Parasesarma tripectinis	YP_009251012
Saldula arsenjevi	YP_002735084
Kryptolebias marmoratus	COX1_15877
Phalcoboenus australis	YP_009320248
Eugnathogobius polylepis	YP_009320165
Pycnophyes kielensis	YP_009318493
Caloenas maculata	YP_009318469
Caloenas nicobarica	YP_009318456
Didunculus strigirostris	YP_009318417
Raphus cucullatus	YP_009318391
Angaria delphinus	YP_009318337
Astralium haematragum	YP_009318311
Bellamya quadrata	YP_009317875
Hylopetes alboniger	YP_009317725
Rusa unicolor	YP_009317452
Pycnonotus xanthorrhous	YP_009317183
Megaloprepus caerulatus	YP_009316847
Anax imperator	YP_009316749
Epicauta aptera	YP_009316736
Prunella strophiata	YP_009316724
Squalus formosus	YP_009316711
Fruhstorferiola tonkinensis	YP_009316697
Gymnocypris potanini	YP_009316490
Etmopterus pusillus	YP_009316451
Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis'	YP_009316425
Schizothorax gongshanensis	YP_009316263
Anoplocephala magna	YP_009316236
Columba rupestris	YP_009318430
Goura cristata	YP_009318404
Zenaida macroura	YP_009318378
Stomatella planulata	YP_009318350
Lunella granulata	YP_009318298
Melophus lathami	YP_009317672
Crossocheilus siamensis	YP_009317043
Eusphyra blochii	YP_009316477
Halaelurus buergeri	YP_009316464
Phodopus roborovskii	YP_009316438
(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.	YP_009316412
Cricetulus migratorius	YP_009316250
Mizuhopecten yessoensis	YP_001083061
Oxyeleotris marmorata	YP_009315856
Schistura corica	YP_009312479
Nemacheilus pallidus	YP_009312466
Schistura pridii	YP_009312453
Petruichthys brevis	YP_009312440
Homalosoma hainanensis	YP_009312427
Homaloptera ogilviei	YP_009312414
Homaloptera parclitella	YP_009312401
Thoburnia rhothoeca	YP_009312388
Psilorhynchus balitora	YP_009312375
Tanichthys micagemmae	YP_009312362
Devario devario	YP_009312349
Squalius lepidus	YP_009312336
Garra poecilura	YP_009312323
Clypeobarbus pleuropholis	YP_009312310
Mesonoemacheilus triangularis	YP_009312297
Osteochilus pentalineatus	YP_009312284
Crossocheilus reticulatus	YP_009312271
Henicorhynchus siamensis	YP_009312258
Labeo dussumieri	YP_009312245
Hypsibarbus vernayi	YP_009312232
Hypsibarbus salweenensis	YP_009312219
Barbodes aurotaeniatus	YP_009312206
Cyclocheilichthys heteronema	YP_009312193
Enteromius eburneensis	YP_009312180
Enteromius fasciolatus	YP_009312167
Scaphognathops bandanensis	YP_009312154
Dawkinsia tambraparniei	YP_009312141
Chagunius chagunio	YP_009312128
Cosmochilus harmandi	YP_009312115
Puntius eugrammus	YP_009312102
Puntigrus partipentazona	YP_009312089
Thynnichthys thynnoides	YP_009312076
Cirrhinus microlepis	YP_009312063
Incisilabeo behri	YP_009312050
Folifer brevifilis	YP_009312037
Scaphiodonichthys burmanicus	YP_009312024
Poropuntius bantamensis	YP_009312011
Onychostoma meridionale	YP_009311998
Leptobotia pellegrini	YP_009311985
Botia udomritthiruji	YP_009311972
Yasuhikotakia morleti	YP_009311959
Pangio kuhlii	YP_009311946
Pangio cf. anguillaris CBM ZF 11605	YP_009311933
Kottelatlimia pristes	YP_009311920
Lepidocephalus macrochir	YP_009311907
Lepidocephalichthys micropogon	YP_009311894
Pangio cuneovirgata	YP_009311881
Lepidocephalichthys guntea	YP_009311868
Pangio oblonga	YP_009311855
Discherodontus schroederi	YP_009311842
Discherodontus ashmeadi	YP_009311829
Poropuntius normani	YP_009311816
Barbodes lateristriga	YP_009311803
Hypselobarbus jerdoni	YP_009311790
Sikukia gudgeri	YP_009311777
Schistura notostigma	YP_009311764
Schistura jarutanini	YP_009311751
Nemachilichthys rueppelli	YP_009311738
Aborichthys elongatus	YP_009311725
Traccatichthys taeniatus	YP_009311712
Schistura kaysonei	YP_009311699
Oreonectes platycephalus	YP_009311686
Gastromyzon scitulus	YP_009311673
Sewellia albisuera	YP_009311660
Canthophrys gongota	YP_009311647
Opsaridium ubangiense	YP_009311634
Pseudochondrostoma polylepis	YP_009311621
Alburnus mossulensis	YP_009311608
Clinostomus elongatus	YP_009311595
Erimystax dissimilis	YP_009311582
Chrosomus erythrogaster	YP_009311569
Platygobio gracilis	YP_009311556
Couesius plumbeus	YP_009311543
Hybognathus nuchalis	YP_009311530
Yuriria alta	YP_009311517
Algansea lacustris	YP_009311504
Tampichthys ipni	YP_009311491
Aspiolucius esocinus	YP_009311478
Acanthobrama persidis	YP_009311465
Scardinius erythrophthalmus	YP_009311452
Osteobrama feae	YP_009311439
Osteobrama cunma	YP_009311426
Romanogobio ciscaucasicus	YP_009311413
Albulichthys albuloides	YP_009311400
Cyprinion semiplotum	YP_009311387
Neolissochilus stracheyi	YP_009311374
Anematichthys apogon	YP_009311361
Puntioplites proctozystron	YP_009311348
Balantiocheilos melanopterus	YP_009311335
Acrossocheilus iridescens	YP_009311322
Barboides gracilis	YP_009311309
Capoeta aculeata	YP_009311296
Oxynoemacheilus angorae	YP_009311283
Gastromyzon zebrinus	YP_009311270
Syncrossus beauforti	YP_009311257
Sabanejewia radnensis	YP_009311244
Gyrinocheilus pennocki	YP_009311231
Psilorhynchus pseudecheneis	YP_009311218
Rasbora sumatrana	YP_009311205
Metzia lineata	YP_009311192
Squalius cephalus	YP_009311179
Vimba melanops	YP_009311166
Rhodeus amarus	YP_009311153
Schizothorax nepalensis	YP_009311140
Labeo cylindricus	YP_009311127
Garra congoensis	YP_009311114
Epalzeorhynchos bicolor	YP_009311101
Labiobarbus spilopleura	YP_009311088
Luciobarbus sclateri	YP_009311075
Labeobarbus intermedius	YP_009311062
Enteromius hulstaerti	YP_009311049
Onychostoma fangi	YP_009311036
Varicorhinus maroccanus	YP_009311023
Systomus orphoides	YP_009311010
Sawbwa resplendens	YP_009310997
Probarbus jullieni	YP_009310984
Cyclocheilichthys janthochir	YP_009310971
Catlocarpio siamensis	YP_009310958
Capoeta damascina	YP_009310945
Barbonymus altus	YP_009310932
Aulopyge huegelii	YP_009310919
Amblyrhynchichthys truncatus	YP_009310906
Triodontophorus nipponicus	YP_009310879
Triodontophorus serratus	YP_009310867
Squaliolus aliae	YP_009310620
Alopecoenas salamonis	YP_009318482
Columba jouyi	YP_009318443
Sesarma neglectum	YP_009317876
Corvus moriorum	YP_009310893
Ramazzottius varieornatus	YP_009308002
Streptopelia orientalis	YP_009310029
Krobia guianensis	YP_009309718
Mikrogeophagus ramirezi	YP_009309705
Gyrodactylus parvae	YP_009309699
Mauremys leprosa	YP_009309245
Pseudogobius taijiangensis	YP_009309232
Carassioides acuminatus	YP_009309219
Scutiger ningshanensis	YP_009308963
Pristigenys niphonia	YP_009308798
Lethrinops lethrinus	YP_009308444
Serranochromis robustus	YP_009308431
Buccochromis nototaenia	YP_009308378
Hemitilapia oxyrhynchus	YP_009308365
Phascolosoma pacificum	YP_009308156
Leptobrachium leishanense	YP_009308145
Pennahia macrocephalus	YP_009308047
Menathais tuberosa	YP_009307976
Myrianida brachycephala	YP_009307953
Eusyllis blomstrandi	YP_009307940
Aphis craccivora	YP_009307192
Sinocyclocheilus bicornutus	YP_009306906
Astyanax paranae	YP_009306880
Schistura scaturigina	YP_009306854
Eophona migratoria	YP_009306724
Retropinna semoni	YP_009306624
Dirofilaria sp. 'hongkongensis'	YP_009306205
Panaorus albomaculatus	YP_009306191
Osphronemus goramy	YP_009306179
Haliotis iris	YP_009306154
Psephotellus pulcherrimus	YP_009306068
Dolomedes angustivirgatus	YP_009305882
Psittirostra psittacea	YP_009305787
Myadestes myadestinus	YP_009305774
Heteralocha acutirostris	YP_009305761
Callaeas cinereus	YP_009305748
Akialoa obscura	YP_009305735
Moho braccatus	YP_009305722
Pinguinus impennis	YP_009305709
Gyrodactylus brachymystacis	YP_009305441
Crassostrea gigas	NP_037555
Rhodosoma turcicum	YP_008083018
Idioscopus nitidulus	YP_009228431
Typosyllis antoni	YP_009307975
Curvipennis wixiensis	YP_009307633
Histiostoma blomquisti	YP_009306839
Ricania speculum	YP_009306437
Haliotis discus hannai x Haliotis iris	YP_009306167
Ruditapes philippinarum	YP_009305279
Lutjanus erythropterus	YP_009305247
Uropsilus gracilis	YP_009305234
Tetraodon nigroviridis	YP_009305205
Malaclemys terrapin terrapin	YP_009305083
Callospermophilus lateralis	YP_009300400
Urocitellus richardsonii	YP_009300387
Acipenser mikadoi	YP_009298508
Monacoa grimaldii	YP_009295508
Reticulitermes flaviceps	YP_009295390
Fringilla polatzeki	YP_009295042
Callianassa ceramica	YP_009294930
Acheilognathus meridianus	YP_009294831
Turritopsis dohrnii	YP_009300660
Cacospongia mycofijiensis	YP_009298763
Macaca leucogenys	YP_009295029
Limnephilus decipiens	YP_009116309
Protonibea diacanthus	YP_009048798
Phrynocephalus mystaceus	YP_007890857
Crotalus horridus	YP_003848736
Pantholops hodgsonii	YP_337826
Hesperelaea palmeri	YP_009305187
Piaractus brachypomus	YP_009093550
Misgurnus anguillicaudatus x Paramisgurnus dabryanus	YP_009155167
Cynoponticus ferox	YP_003345205
Polyrhachis dives	YP_009272415
Callithrix penicillata	YP_009272316
Xylotrechus grayii	YP_009271873
Azemiops feae	YP_009271861
Scincella huanrenensis	YP_009271748
Hypselodoris festiva	YP_009271535
Stachyris ruficeps	YP_009271350
Orconectes punctimanus	YP_009271249
Periophthalmodon schlosseri	YP_009271156
Sitophilus oryzae	YP_009271142
Sitophilus zeamais	YP_009271129
Bothrops jararaca	YP_009271007
Scincella vandenburghi	YP_009271635
Pseudogastromyzon fasciatus	YP_009270994
Agrilus planipennis	YP_009270986
Sinibotia reevesae	YP_009257096
Sivaloka damnosus	YP_003734938
Ponticola kessleri	YP_009108178
Polypterus mokelembembe	YP_009270235
Scapharca kagoshimensis	YP_009104567
Chrysaora quinquecirrha	YP_007516982
Dermacentor nitens	YP_008999737
Neoceratodus forsteri	COX1_15795
Primolius maracana	YP_009230436
Ara ararauna	YP_009230397
Orthopsittaca manilatus	YP_009227800
Phasianella solida	YP_009192132
Pyrrhura rupicola	YP_009179425
Uroteuthis chinensis	YP_009176114
Loliolus beka	YP_009170508
Psittrichas fulgidus	YP_009164730
Psittacus erithacus	YP_009164718
Prioniturus luconensis	YP_009164706
Myiopsitta monachus	YP_009164680
Forpus passerinus	YP_009164667
Eclectus roratus	YP_009164654
Coracopsis vasa	YP_009164641
Amazona ochrocephala	YP_009164628
Ara militaris	YP_009164615
Uroteuthis duvaucelii	YP_009162946
Drosophila formosana	YP_009182956
Neuronema laminatum	YP_009175366
Loliolus uyii	YP_009128800
Darthula hardwickii	YP_009128296
Psittacara rubritorquis	YP_009113874
Ara glaucogularis	YP_009113415
Glyphodes pyloalis	YP_009112162
Primolius couloni	YP_009109744
Allantus luctifer	YP_009051004
Samia canningi	YP_009040573
Hirudo nipponia	YP_009019388
Chaceon granulatus	YP_009002490
Rhynchopsitta terrisi	YP_008239394
Psittacara brevipes	YP_008239303
Psococerastis albimaculata	YP_008080945
Sepia pharaonis	YP_007891043
Placida sp. 1 NY-2013	YP_007475215
Psittacara acuticaudatus acuticaudatus	YP_007474910
Agriosphodrus dohrni	YP_004734452
Zenaida auriculata	YP_004285972
Geotrygon violacea	YP_004286168
Bycanistes brevis	YP_004285946
Bucorvus leadbeateri	YP_004285920
Eupsittula pertinax chrysogenys	YP_004285894
Nymphicus hollandicus	YP_004285829
Leptotila verreauxi	YP_004285803
Locusta migratoria manilensis	YP_004123678
Eriocheir hepuensis	YP_002327433
Eriocheir japonica	YP_002327420
Anoplophora glabripennis	YP_659513
Varroa destructor	NP_758874
Wasmannia auropunctata	YP_009262816
Grapsus tenuicrustatus	YP_009239896
Turritella bacillum	YP_009239743
Ibalia leucospoides	YP_009130781
Dermacentor silvarum	YP_009122927
Aplysia kurodai	YP_009040284
Eulimnogammarus verrucosus	YP_008964128
Histiona aroides	YP_007890604
Craspedacusta sowerbii	YP_006665707
Platevindex mortoni	YP_003495112
Mesobuthus gibbosus	YP_161157
Spadella cephaloptera	YP_133882
Loliolus japonicus	YP_009254148
Vespa mandarinia	YP_009142242
Rita rita	YP_009000492
Nuttallia olivacea	YP_006576397
Thylacodes squamigerus	YP_003934427
Yaoshania pachychilus	YP_009268496
Mytilus chilensis	YP_009268489
Leiocassis longirostris x Tachysurus fulvidraco	YP_009268232
Oreolalax lichuanensis	YP_009268219
Calliptamus abbreviatus	YP_009268205
Macrhybopsis hyostoma	YP_009266948
Dimidiochromis kiwinge	YP_009266850
Copadichromis quadrimaculatus	YP_009266837
Oreolalax major	YP_009266811
Lanius schach	YP_009266798
Copsychus saularis	YP_009266785
Cecropterus lyciades	YP_009266771
Sargocentron spiniferum	YP_009266486
Littorina saxatilis	YP_009266388
Liposcelis keleri	YP_009266383
Hygrobia hermanni	YP_009266364
Abax parallelepipedus	YP_009266351
Amphiprion sebae	YP_009266339
Amphiprion akallopisos	YP_009266326
Amphiprion ephippium	YP_009266313
Minla ignotincta	YP_009266300
Yunnanacris yunnaneus	YP_009266273
Tringa erythropus	YP_009266261
Copadichromis mloto	YP_009266248
Channa micropeltes	YP_009262841
Tachysurus argentivittatus	YP_009262629
Elysia ornata	YP_009262614
Conus striatus	YP_009262602
Metopaulias depressus	YP_009262588
Saccostrea kegaki	YP_009262493
Homalogaster paloniae	YP_009262389
Fischoederius cobboldi	YP_009262377
Fasciolopsis buski	YP_009262365
Notoraja tobitukai	YP_009262174
Triplophysa lixianensis	YP_009261968
Symplecta hybrida	YP_009261941
Echinochasmus japonicus	YP_009261936
Triplophysa xichangensis	YP_009261651
Triplophysa wuweiensis	YP_009261638
Triplophysa tenuis	YP_009261625
Numenius phaeopus	YP_009261573
Triplophysa stewarti	YP_009261560
Triplophysa orientalis	YP_009261547
Macrhybopsis storeriana	YP_009259954
Triplophysa tibetana	YP_009259855
Odontamblyopus rebecca	YP_009259755
